signal,group,source_kind,sample_count,valid_fraction,p05,p50,p95,range_p95_p05,step95_standardized
mp_body.ear_mid.z,head_mp_diagnostic,mp_body,1322,1.0,61.550799161195755,64.54155147075653,66.75468042492867,5.20388126373291,0.041601646793416866
mp_body.ear_width,head_mp_diagnostic,mp_body,1322,1.0,12.452785422770793,13.694919726186386,14.94195052570232,2.4891651029315263,0.040630934361165605
mp_body.hip_mid.x,pelvis,mp_body,1322,1.0,-0.577112094083135,-0.13682732127864083,0.11437391383917317,0.6914860079223082,0.02784262094025014
mp_body.hip_mid.y,pelvis,mp_body,1322,1.0,-0.16454083802564645,-0.05266741783036369,0.09966673299668552,0.26420757102233194,0.023690898605836258
mp_body.hip_mid.z,pelvis,mp_body,1322,1.0,0.02247772761620581,0.02661211183294654,0.0335075480688829,0.011029820452677086,0.0273321872007318
mp_body.hip_width,pelvis,mp_body,1322,1.0,19.91701750644234,20.044110311079876,21.057071766603002,1.1400542601606638,0.00589385474228564
mp_body.left_ankle.x,lower_body_measure_only,mp_body,1322,1.0,12.44285397062582,14.993735694738,17.52323859101842,5.0803846203926,0.044084130315964865
mp_body.left_ankle.y,lower_body_measure_only,mp_body,1322,1.0,-31.79629722800193,-20.963295648749316,-12.479923416408143,19.316373811593785,0.03401249570515874
mp_body.left_ankle.z,lower_body_measure_only,mp_body,1322,1.0,-72.01160967350006,-69.58813965320587,-66.24460577964783,5.767003893852234,0.03450390354864957
mp_body.left_ankle_lift_from_hips,lower_body_measure_only,mp_body,1322,1.0,-72.03896257793531,-69.61305736331269,-66.27741283939031,5.761549738545,0.0345944029610506
mp_body.left_ear.x,head_mp_diagnostic,mp_body,1322,1.0,-1.8792224886569795,3.225916080952823,4.937278304902788,6.816500793559768,0.03282773962147698
mp_body.left_ear.y,head_mp_diagnostic,mp_body,1322,1.0,0.9885394434840077,18.554162745354535,26.426537122263827,25.43799767877982,0.036255543131685955
mp_body.left_ear.z,head_mp_diagnostic,mp_body,1322,1.0,61.96334570646286,65.00416398048401,67.56320595741272,5.59986025094986,0.03925276688206655
mp_body.left_elbow.x,arms_measure_only,mp_body,1322,1.0,16.92681248376471,22.352033478558276,35.09030057234556,18.163488088580852,0.04691699899671262
mp_body.left_elbow.y,arms_measure_only,mp_body,1322,1.0,6.6777817375821105,10.651896723596183,26.459363055525383,19.78158131794327,0.05228810133455791
mp_body.left_elbow.z,arms_measure_only,mp_body,1322,1.0,25.78210562467575,30.719298124313354,59.88503992557526,34.10293430089951,0.049308724698902046
mp_body.left_eye.x,head_mp_diagnostic,mp_body,1322,1.0,-5.108985364806851,-1.9254702821425023,0.3977516067309822,5.506736971537833,0.037906386975836814
mp_body.left_eye.y,head_mp_diagnostic,mp_body,1322,1.0,10.459726000629937,28.95559472813015,36.501858927253245,26.04213292662331,0.03544601259760011
mp_body.left_eye.z,head_mp_diagnostic,mp_body,1322,1.0,63.96987020969391,65.97332954406738,69.82617110013962,5.856300890445709,0.04987561375711591
mp_body.left_eye_inner.x,head_mp_diagnostic,mp_body,1322,1.0,-5.062085700134386,-1.8834850868412292,0.4351523580332729,5.4972380581676585,0.0378448979278333
mp_body.left_eye_inner.y,head_mp_diagnostic,mp_body,1322,1.0,10.264761913080552,28.78375479724384,36.30730544383675,26.042543530756202,0.035397345376060874
mp_body.left_eye_inner.z,head_mp_diagnostic,mp_body,1322,1.0,63.97325575351715,65.97623229026794,69.83486294746399,5.861607193946838,0.049771484963868226
mp_body.left_eye_outer.x,head_mp_diagnostic,mp_body,1322,1.0,-5.07455295980148,-1.8852565864814719,0.4476325061869224,5.522185465988402,0.037911255312498615
mp_body.left_eye_outer.y,head_mp_diagnostic,mp_body,1322,1.0,10.271115003938482,28.77745153377621,36.31214204763317,26.04102704369469,0.03548816862843088
mp_body.left_eye_outer.z,head_mp_diagnostic,mp_body,1322,1.0,63.987277150154114,65.98789691925049,69.84543353319168,5.858156383037567,0.04979876847149048
mp_body.left_foot_index.x,arms_measure_only,mp_body,1322,1.0,14.170044286270196,17.202816106672742,19.86095571430758,5.690911428037383,0.04798397475596691
mp_body.left_foot_index.y,arms_measure_only,mp_body,1322,1.0,-21.08223597817497,-10.21977835624931,-0.7103230715185774,20.371912906656394,0.03527780060445429
mp_body.left_foot_index.z,arms_measure_only,mp_body,1322,1.0,-82.02952444553375,-80.24291098117828,-76.46113842725754,5.568386018276215,0.029945832360819935
mp_body.left_forearm_length,arms_measure_only,mp_body,1322,1.0,21.313840495627307,22.236607552365474,24.186611286941243,2.872770791313936,0.06421393318674795
mp_body.left_heel.x,lower_body_measure_only,mp_body,1322,1.0,12.809157993301183,15.400227712592411,18.138341768851927,5.329183775550744,0.04448376988463687
mp_body.left_heel.y,lower_body_measure_only,mp_body,1322,1.0,-32.928656970244305,-21.816339113009114,-12.770934371143406,20.1577225991009,0.03532112980888144
mp_body.left_heel.z,lower_body_measure_only,mp_body,1322,1.0,-76.633780002594,-74.04148876667023,-70.53190886974335,6.101871132850647,0.033565684347960534
mp_body.left_hip.x,pelvis,mp_body,1322,1.0,9.389287185721459,9.854350888570316,10.381967827858976,0.9926806421375165,0.01917250082542926
mp_body.left_hip.y,pelvis,mp_body,1322,1.0,-0.21742690718947624,0.10441638051499715,0.28843864299903677,0.505865550188513,0.049363816749488976
mp_body.left_hip.z,pelvis,mp_body,1322,1.0,-0.13181902759242803,0.7048944476991892,1.195832109078765,1.327651136671193,0.01114002001199288
mp_body.left_index.x,arms_measure_only,mp_body,1322,1.0,15.088724423756457,25.75973832514881,54.53804497409213,39.44932055033567,0.03297196797601658
mp_body.left_index.y,arms_measure_only,mp_body,1322,1.0,19.36680577771524,30.906112818943555,47.12320729654726,27.756401518832018,0.05200469038163422
mp_body.left_index.z,arms_measure_only,mp_body,1322,1.0,-0.6646545464172959,30.547204613685608,81.3089257478714,81.9735802942887,0.051370677429741995
mp_body.left_knee.x,lower_body_measure_only,mp_body,1322,1.0,9.845890946627566,12.242772218156937,13.563688976191886,3.717798029564319,0.03420035448043705
mp_body.left_knee.y,lower_body_measure_only,mp_body,1322,1.0,-11.938484321701226,-3.900953107106324,-1.1269521400675038,10.811532181633723,0.03506378668217802
mp_body.left_knee.z,lower_body_measure_only,mp_body,1322,1.0,-37.43398919701576,-36.733852326869965,-35.867250859737396,1.566738337278366,0.03774893826950079
mp_body.left_knee_lift_from_hips,lower_body_measure_only,mp_body,1322,1.0,-37.460703898686916,-36.76183305506129,-35.90091414976996,1.5597897489169554,0.03790340010013851
mp_body.left_pinky.x,arms_measure_only,mp_body,1322,1.0,15.508300806087036,27.541023753362488,54.74431038083644,39.2360095747494,0.034299457084406584
mp_body.left_pinky.y,arms_measure_only,mp_body,1322,1.0,14.971779382423996,28.64331436958227,47.10671656516623,32.134937182742235,0.04657515600337414
