group,pair_kind,source,target,sample_count,valid_fraction,source_range_p95_p05,target_range_p95_p05,amplitude_ratio_target_over_source,corr_zero_lag,best_lag_seconds,corr_best_lag,best_abs_lag_seconds,corr_best_abs_lag,source_step95_standardized,target_step95_standardized,step95_ratio_target_over_source,measurement_only,stage_gate,flags
torso,stage1_torso_shape_raw_units,mp_world.torso_height,fused.torso_height,1316,0.9954614220877458,0.19840477596153505,0.9966827626471968,5.023481707115885,-0.12655420546556295,nan,nan,0.7607912421226501,-0.5652438472062544,0.039020647097111616,0.07449314218398326,1.9090698828902144,False,fail,low_correlation;amplitude_mismatch
arms_measure_only,arm_conflict_measure_only,quest.left.elbow.x,mp_body.left_elbow.x,1322,1.0,18.686498451232925,18.163488088580852,0.9720113233617845,0.7763915832250213,0.17559058964252472,0.8272757640210634,0.17559058964252472,0.8272757640210634,0.053335133048308336,0.04691699899671262,0.8796640472278847,True,measure_only_no_authority,lag_over_100ms
arms_measure_only,arm_conflict_measure_only,quest.left.elbow.y,mp_body.left_elbow.y,1322,1.0,33.27817182540895,19.78158131794327,0.5944311310646999,0.4697814553117704,-0.02926509827375412,0.5181386622291679,-0.02926509827375412,0.5181386622291679,0.053325875007070866,0.05228810133455791,0.9805390221468405,True,measure_only_no_authority,
arms_measure_only,arm_conflict_measure_only,quest.left.elbow.z,mp_body.left_elbow.z,1322,1.0,33.30194630622863,34.10293430089951,1.0240522877343379,0.8020106003379263,0.17559058964252472,0.865654474475854,0.17559058964252472,0.865654474475854,0.06360028817780738,0.049308724698902046,0.7752909005860099,True,measure_only_no_authority,lag_over_100ms
arms_measure_only,arm_conflict_measure_only,quest.left.wrist.x,mp_body.left_wrist.x,1322,1.0,40.82813334465026,34.62518479341858,0.8480717083274527,0.8378431596898697,0.1463254913687706,0.8588776590270473,0.1463254913687706,0.8588776590270473,0.03426979669661943,0.03496371118574293,1.0202485732631135,True,measure_only_no_authority,lag_over_100ms
arms_measure_only,arm_conflict_measure_only,quest.left.wrist.y,mp_body.left_wrist.y,1322,1.0,45.87713265419006,30.438366773380466,0.6634757887511625,0.72692437061365,-0.02926509827375412,0.7569721697603125,-0.02926509827375412,0.7569721697603125,0.041900079731261974,0.04675181539392817,1.1157929935643125,True,measure_only_no_authority,
arms_measure_only,arm_conflict_measure_only,quest.left.wrist.z,mp_body.left_wrist.z,1322,1.0,68.53595399856567,70.17106609418988,1.0238577272253104,0.8880510924487105,0.1463254913687706,0.9205273425282992,0.1463254913687706,0.9205273425282992,0.05603588993784492,0.05210404797513846,0.9298335055074941,True,measure_only_no_authority,lag_over_100ms
arms_measure_only,arm_conflict_measure_only,quest.right.elbow.x,mp_body.right_elbow.x,1322,1.0,20.893944549560565,21.362256039204652,1.0224137423421054,0.881980575945609,0.17559058964252472,0.9431378504107067,0.17559058964252472,0.9431378504107067,0.04544612048056034,0.031737818860012895,0.6983614558164278,True,measure_only_no_authority,lag_over_100ms
arms_measure_only,arm_conflict_measure_only,quest.right.elbow.y,mp_body.right_elbow.y,1322,1.0,33.74774851799012,23.080932454584765,0.6839251051749681,0.6042905246518183,-0.02926509827375412,0.6691803031205996,-0.02926509827375412,0.6691803031205996,0.04972012503608961,0.04427706534109388,0.8905260256074405,True,measure_only_no_authority,
arms_measure_only,arm_conflict_measure_only,quest.right.elbow.z,mp_body.right_elbow.z,1322,1.0,30.377458286285417,31.910716593265533,1.0504735548488051,0.7851789474910938,0.17559058964252472,0.8435586170650156,0.17559058964252472,0.8435586170650156,0.06877182467951276,0.04357214624865691,0.6335755442248302,True,measure_only_no_authority,lag_over_100ms
