group,pair_kind,source,target,sample_count,valid_fraction,source_range_p95_p05,target_range_p95_p05,amplitude_ratio_target_over_source,corr_zero_lag,best_lag_seconds,corr_best_lag,best_abs_lag_seconds,corr_best_abs_lag,source_step95_standardized,target_step95_standardized,step95_ratio_target_over_source,measurement_only,stage_gate,mediapipe_advance_ms,flags
arms_measure_only,arm_conflict_measure_only,quest.left.elbow.z,mp_body.left_elbow.z,1316,0.9954614220877458,33.30194630622863,34.2170922956528,1.0274802553883466,0.8596049209921659,-0.02926509827375412,0.8685921656697629,-0.02926509827375412,0.8685921656697629,0.06360028817780738,0.05049047079135635,0.7938717297978288,True,measure_only_no_authority,175.5906,
arms_measure_only,arm_conflict_measure_only,quest.left.wrist.x,mp_body.left_wrist.x,1316,0.9954614220877458,40.82813334465026,34.44096792791098,0.8435597002972903,0.8583576707318356,0.0,0.8583576707318359,0.0,0.8583576707318359,0.03426979669661943,0.032965942807275175,0.9619532645353315,True,measure_only_no_authority,175.5906,
arms_measure_only,arm_conflict_measure_only,quest.left.wrist.y,mp_body.left_wrist.y,1316,0.9954614220877458,45.87713265419006,30.391231851054755,0.662448372267203,0.7332740742300193,-0.08779529482126236,0.7760145029959724,-0.08779529482126236,0.7760145029959724,0.041900079731261974,0.046906967436060217,1.119495899218124,True,measure_only_no_authority,175.5906,
arms_measure_only,arm_conflict_measure_only,quest.left.wrist.z,mp_body.left_wrist.z,1316,0.9954614220877458,68.53595399856567,70.26051149650843,1.025162814513078,0.9199544377032662,-0.02926509827375412,0.9224966349453323,-0.02926509827375412,0.9224966349453323,0.05603588993784492,0.052239536763304284,0.9322513985456187,True,measure_only_no_authority,175.5906,
arms_measure_only,arm_conflict_measure_only,quest.right.elbow.x,mp_body.right_elbow.x,1316,0.9954614220877458,20.893944549560565,21.287863993876766,1.01885328274811,0.93097315961388,0.05853019654750824,0.9431545092791068,0.05853019654750824,0.9431545092791068,0.04544612048056034,0.03363362763502413,0.7400769808153586,True,measure_only_no_authority,175.5906,
arms_measure_only,arm_conflict_measure_only,quest.right.elbow.y,mp_body.right_elbow.y,1316,0.9954614220877458,33.74774851799012,22.9166409505835,0.6790568839982669,0.6217688468232155,-0.02926509827375412,0.6935397549400105,-0.02926509827375412,0.6935397549400105,0.04972012503608961,0.0421756492260479,0.8482611255590062,True,measure_only_no_authority,175.5906,
arms_measure_only,arm_conflict_measure_only,quest.right.elbow.z,mp_body.right_elbow.z,1316,0.9954614220877458,30.377458286285417,31.906156501773243,1.0503234405288606,0.8386077304848261,-0.02926509827375412,0.8510218732548639,-0.02926509827375412,0.8510218732548639,0.06877182467951276,0.04414943742971979,0.6419698420895902,True,measure_only_no_authority,175.5906,
arms_measure_only,arm_conflict_measure_only,quest.right.wrist.x,mp_body.right_wrist.x,1316,0.9954614220877458,43.04944133758546,43.120224362659286,1.0016442263331307,0.9288067103222021,0.0,0.9288067103222021,0.0,0.9288067103222021,0.029191363847511947,0.024368148657187793,0.8347725301387298,True,measure_only_no_authority,175.5906,
arms_measure_only,arm_conflict_measure_only,quest.right.wrist.y,mp_body.right_wrist.y,1316,0.9954614220877458,43.43313298225402,26.791423999360198,0.6168429988761501,0.7686103200074601,-0.02926509827375412,0.8135096526250066,-0.02926509827375412,0.8135096526250066,0.05083580367867263,0.04551928516810675,0.8954178329869438,True,measure_only_no_authority,175.5906,
arms_measure_only,arm_conflict_measure_only,quest.right.wrist.z,mp_body.right_wrist.z,1316,0.9954614220877458,67.38920631408692,66.42538376245629,0.9856976717140954,0.915886669260446,-0.02926509827375412,0.9178723562463278,-0.02926509827375412,0.9178723562463278,0.05702866928483988,0.04457020669109392,0.7815403594371115,True,measure_only_no_authority,175.5906,
arms_measure_only,arm_conflict_raw_measure_only,quest.left.elbow.x,mp_world.left_elbow.x,1313,0.9931921331316188,18.686498451232925,0.16629638984965373,0.008899280423437574,0.8173257161666877,-0.029258551076054573,0.8189121885280473,-0.029258551076054573,0.8189121885280473,0.053335133048308336,0.05295792718749381,0.9929276287644605,True,measure_only_no_authority,175.5906,amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.left.elbow.y,mp_world.left_elbow.y,1313,0.9931921331316188,33.27817182540895,0.34184751510503253,0.010272424726289232,-0.658050969382787,nan,nan,-0.058517102152109146,-0.6605520586638706,0.053325875007070866,0.0503391078558787,0.9439902833137548,True,measure_only_no_authority,175.5906,low_correlation;amplitude_mismatch;possible_sign_or_axis_inversion
arms_measure_only,arm_conflict_raw_measure_only,quest.left.elbow.z,mp_world.left_elbow.z,1313,0.9931921331316188,33.30194630622863,0.19477449072284497,0.005848741960358495,-0.6407439906952062,nan,nan,-0.029258551076054573,-0.6413429912041428,0.06360028817780738,0.052175727686839445,0.8203693596634611,True,measure_only_no_authority,175.5906,low_correlation;amplitude_mismatch;possible_sign_or_axis_inversion
arms_measure_only,arm_conflict_raw_measure_only,quest.left.wrist.x,mp_world.left_wrist.x,1313,0.9931921331316188,40.82813334465026,0.34681506332327217,0.008494511869931365,0.8682573978273754,-0.029258551076054573,0.869631828954487,-0.029258551076054573,0.869631828954487,0.03426979669661943,0.033577873562137685,0.9798095348914049,True,measure_only_no_authority,175.5906,amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.left.wrist.y,mp_world.left_wrist.y,1313,0.9931921331316188,45.87713265419006,0.7028174017535599,0.015319558156592203,-0.745057644374515,nan,nan,-0.08777565322816372,-0.753232004969443,0.041900079731261974,0.05051629444147833,1.2056371912769352,True,measure_only_no_authority,175.5906,low_correlation;amplitude_mismatch;possible_sign_or_axis_inversion
arms_measure_only,arm_conflict_raw_measure_only,quest.left.wrist.z,mp_world.left_wrist.z,1313,0.9931921331316188,68.53595399856567,0.29470556010931104,0.004300013976831469,-0.7336000586175698,nan,nan,-0.058517102152109146,-0.7357783541428663,0.05603588993784492,0.04812254862919717,0.8587808399683624,True,measure_only_no_authority,175.5906,low_correlation;amplitude_mismatch;possible_sign_or_axis_inversion
arms_measure_only,arm_conflict_raw_measure_only,quest.right.elbow.x,mp_world.right_elbow.x,1313,0.9931921331316188,20.893944549560565,0.20838224021592433,0.009973331733586274,0.9542225739426242,0.029258551076054573,0.9542453892151689,0.029258551076054573,0.9542453892151689,0.04544612048056034,0.03315921744386285,0.7296380217547229,True,measure_only_no_authority,175.5906,amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.right.elbow.y,mp_world.right_elbow.y,1313,0.9931921331316188,33.74774851799012,0.31894851233916444,0.009450956770320266,-0.5474581399063936,nan,nan,0.029258551076054573,-0.5476769395990733,0.04972012503608961,0.04476247302370902,0.9002888265308655,True,measure_only_no_authority,175.5906,low_correlation;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.right.elbow.z,mp_world.right_elbow.z,1313,0.9931921331316188,30.377458286285417,0.23626641064381373,0.007777688587938297,-0.7524830598483546,nan,nan,0.029258551076054573,-0.7532539702272003,0.06877182467951276,0.041322662457147004,0.6008661635737738,True,measure_only_no_authority,175.5906,low_correlation;amplitude_mismatch;possible_sign_or_axis_inversion
arms_measure_only,arm_conflict_raw_measure_only,quest.right.wrist.x,mp_world.right_wrist.x,1313,0.9931921331316188,43.04944133758546,0.44574947670986775,0.010354361470440134,0.9273252395912582,-0.029258551076054573,0.9281324647153681,-0.029258551076054573,0.9281324647153681,0.029191363847511947,0.024271449041855908,0.8314599197435109,True,measure_only_no_authority,175.5906,amplitude_mismatch
