group,pair_kind,source,target,sample_count,valid_fraction,source_range_p95_p05,target_range_p95_p05,amplitude_ratio_target_over_source,corr_zero_lag,best_lag_seconds,corr_best_lag,best_abs_lag_seconds,corr_best_abs_lag,source_step95_standardized,target_step95_standardized,step95_ratio_target_over_source,measurement_only,stage_gate,mediapipe_advance_ms,flags
shoulders,stage2_shoulder_hint,mp_body.right_shoulder.z,fused.right.shoulder.z,1328,1.0,27.928992435336113,140.75612542272026,5.039785296537724,0.30467076410778504,-0.6775495298206806,0.35203796326430187,-0.6775495298206806,0.35203796326430187,0.01085516994417739,0.003388046336983837,0.3121136153931107,False,fail,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
shoulders,stage2_shoulder_hint,mp_body.right_shoulder_lift_from_hips,fused.right.shoulder_lift_from_pelvis,1328,1.0,27.976643033325672,140.75612542272026,5.031201393785955,0.2970534167063865,-0.6775495298206806,0.3479899852291241,-0.6775495298206806,0.3479899852291241,0.010823427817787206,0.003388046336983837,0.3130289584798567,False,fail,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
torso,output_verification,fused.torso_height,manny.torso_height,1328,1.0,13.039564049517857,0.0,0.0,nan,nan,nan,nan,nan,0.03084276441850461,0.0,0.0,False,fail,0.0,flat_target;low_correlation;amplitude_mismatch
torso,stage1_torso_hint,mp_body.shoulder_mid.z,fused.chest.loc.z,1328,1.0,36.107755191624165,13.039564049517864,0.3611291807069364,0.15956076762893076,0.7132100313901901,0.28747103883535885,0.7132100313901901,0.28747103883535885,0.0061556289696017485,0.030842764418504556,5.010497638960198,False,fail,0.0,low_correlation;lag_over_100ms;jitter_or_step_mismatch
torso,stage1_torso_hint,mp_body.torso_forward_proxy,fused.torso_forward_proxy,1328,1.0,29.085218561001142,19.047392747089663,0.6548822284811475,0.11675480303609576,-0.7488705329596996,0.24374561972988432,-0.7488705329596996,0.24374561972988432,0.02932131909549784,0.0335609960493899,1.144593663746289,False,fail,0.0,low_correlation;lag_over_100ms
torso,stage1_torso_hint,mp_body.torso_height,fused.torso_height,1328,1.0,36.1585633084178,13.039564049517857,0.3606217409219413,0.14709636679076402,0.7132100313901901,0.2872184753336614,0.7132100313901901,0.2872184753336614,0.006149749012553566,0.03084276441850461,5.015288324051088,False,fail,0.0,low_correlation;lag_over_100ms;jitter_or_step_mismatch
torso,stage1_torso_hint,mp_body.torso_side_proxy,fused.torso_side_proxy,1328,1.0,51.213883309848924,13.267996394139214,0.259070305484678,0.3852209803014944,-0.39226551726460457,0.39038365158658306,-0.39226551726460457,0.39038365158658306,0.008486648345451608,0.038042633891888306,4.482645249732438,False,fail,0.0,low_correlation;lag_over_100ms;jitter_or_step_mismatch
torso,stage1_torso_shape_raw_units,mp_world.shoulder_mid.z,fused.chest.loc.z,1323,0.9962349397590361,0.18189874771051104,13.039564049517864,71.68583738833718,0.34559505028206,-0.7461174242198467,0.4647585945153416,-0.7461174242198467,0.4647585945153416,0.04959355831514905,0.030842764418504556,0.6219106970004046,False,fail,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
torso,stage1_torso_shape_raw_units,mp_world.torso_height,fused.torso_height,1323,0.9962349397590361,0.18196807862259445,13.039564049517857,71.65852466114225,0.34609662549433845,-0.7461174242198467,0.46524275770179885,-0.7461174242198467,0.46524275770179885,0.0496233501630573,0.03084276441850461,0.6215373270276676,False,fail,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_measure_only,quest.left.elbow.x,mp_body.left_elbow.x,1328,1.0,10.434462928771973,34.708681431077316,3.326350543195822,0.289416723477777,0.0,0.289416723477777,0.0,0.289416723477777,0.05016742301304307,0.009460246498635633,0.18857349910470897,True,measure_only_no_authority,0.0,low_correlation
arms_measure_only,arm_conflict_measure_only,quest.left.elbow.y,mp_body.left_elbow.y,1328,1.0,7.625034475326544,16.303076731764,2.1380987567358924,0.0647156587125376,-0.035660501569509506,0.1625458209547419,-0.035660501569509506,0.1625458209547419,0.09154896851896537,0.061909195351069056,0.6762413203841166,True,measure_only_no_authority,0.0,low_correlation
arms_measure_only,arm_conflict_measure_only,quest.left.elbow.z,mp_body.left_elbow.z,1328,1.0,5.092231750488281,33.78302718629129,6.634228142317349,0.046379623878949575,-0.7132100313901901,0.16850997009305488,-0.7132100313901901,0.16850997009305488,0.10289774949097238,0.013567267977417507,0.1318519408299383,True,measure_only_no_authority,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_measure_only,quest.left.wrist.x,mp_body.left_wrist.x,1328,1.0,10.127764320373533,36.730830998251534,3.6267462231878658,0.4680026562435949,0.035660501569509506,0.47390579269139393,0.035660501569509506,0.47390579269139393,0.04413850196915559,0.011839596338586996,0.26823738483151555,True,measure_only_no_authority,0.0,low_correlation
arms_measure_only,arm_conflict_measure_only,quest.left.wrist.y,mp_body.left_wrist.y,1328,1.0,18.32178521156311,22.259788889066467,1.214935587991613,0.18833056762427153,-0.7488705329596996,0.36768958398957224,-0.7488705329596996,0.36768958398957224,0.032110109710398196,0.06480576165535275,2.0182354479582094,True,measure_only_no_authority,0.0,low_correlation;lag_over_100ms
arms_measure_only,arm_conflict_measure_only,quest.left.wrist.z,mp_body.left_wrist.z,1328,1.0,19.06513786315918,13.48522952757769,0.7073239975692013,0.547782183356795,0.24962351098656654,0.6146906860570422,0.24962351098656654,0.6146906860570422,0.050625998999762216,0.038800883166073157,0.7664220742835198,True,measure_only_no_authority,0.0,lag_over_100ms
arms_measure_only,arm_conflict_measure_only,quest.right.elbow.x,mp_body.right_elbow.x,1328,1.0,14.131844234466552,72.76930193497863,5.149313898995541,0.608733974237519,-0.21396300941705704,0.6267529752820389,-0.21396300941705704,0.6267529752820389,0.03941270587440132,0.007113175280682694,0.18047924198228482,True,measure_only_no_authority,0.0,lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_measure_only,quest.right.elbow.y,mp_body.right_elbow.y,1328,1.0,8.80374307632448,31.693871324302254,3.6000450092115015,-0.07885178467266507,nan,nan,-0.7488705329596996,-0.2562888027379111,0.08442260457378163,0.02789251805074849,0.3303915840025009,True,measure_only_no_authority,0.0,low_correlation
arms_measure_only,arm_conflict_measure_only,quest.right.elbow.z,mp_body.right_elbow.z,1328,1.0,10.914325904846194,22.26361274719237,2.0398522951661953,0.1850878345063439,-0.24962351098656654,0.3494384788395334,-0.24962351098656654,0.3494384788395334,0.047146279048516274,0.02201400406894986,0.4669298301631856,True,measure_only_no_authority,0.0,low_correlation;lag_over_100ms
arms_measure_only,arm_conflict_measure_only,quest.right.wrist.x,mp_body.right_wrist.x,1328,1.0,16.606061077117918,86.2179602348341,5.19195731211882,0.34391866672501603,-0.7488705329596996,0.3695944162930086,-0.7488705329596996,0.3695944162930086,0.04428486924651199,0.009747115462172686,0.22010035544906567,True,measure_only_no_authority,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_measure_only,quest.right.wrist.y,mp_body.right_wrist.y,1328,1.0,11.734447574615473,54.30390696289963,4.6277344218889755,0.07641342920948518,-0.7488705329596996,0.22434430768362132,-0.7488705329596996,0.22434430768362132,0.05779777773427064,0.018954178439677075,0.32793957108213134,True,measure_only_no_authority,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_measure_only,quest.right.wrist.z,mp_body.right_wrist.z,1328,1.0,10.744786071777341,37.347261384129524,3.475849694413856,-0.09653499104184912,nan,nan,-0.7488705329596996,-0.15852058146572032,0.06961916740879306,0.01583955975733674,0.2275172247368211,True,measure_only_no_authority,0.0,low_correlation
