signal,group,source_kind,sample_count,valid_fraction,p05,p50,p95,range_p95_p05,step95_standardized
mp_norm.left_shoulder.x,shoulders,mp_norm,1323,0.9962349397590361,0.5103970885276794,0.6151948571205139,0.6341839373111724,0.123786848783493,0.016808201006674378
mp_norm.left_shoulder.y,shoulders,mp_norm,1323,0.9962349397590361,0.36522279381752015,0.390774130821228,0.4122669786214828,0.04704418480396266,0.01782921810895113
mp_norm.left_shoulder.z,shoulders,mp_norm,1323,0.9962349397590361,-0.4287670463323593,-0.217974454164505,-0.10111620202660562,0.32765084430575364,0.039660583302803254
mp_norm.left_shoulder_lift_from_hips,shoulders,mp_norm,1323,0.9962349397590361,-0.4287721569649875,-0.2180574517697096,-0.10114209884777665,0.32763005811721085,0.03967987231813377
mp_norm.left_thumb.x,arms_measure_only,mp_norm,1323,0.9962349397590361,0.5281781613826751,0.649394690990448,0.6637715399265288,0.13559337854385367,0.018633581191161125
mp_norm.left_thumb.y,arms_measure_only,mp_norm,1323,0.9962349397590361,0.34797911942005155,0.5307187438011169,0.5450935244560242,0.19711440503597266,0.007426979175988662
mp_norm.left_thumb.z,arms_measure_only,mp_norm,1323,0.9962349397590361,-0.5512090146541595,-0.380999892950058,-0.1545858904719353,0.39662312418222423,0.053588390723072
mp_norm.left_upper_arm_length,arms_measure_only,mp_norm,1323,0.9962349397590361,0.027719686527061135,0.08889315972797647,0.13080970291174998,0.10309001638468884,0.05254480430888062
mp_norm.left_wrist.x,arms_measure_only,mp_norm,1323,0.9962349397590361,0.5338333189487457,0.6589903831481934,0.6720370292663574,0.1382037103176117,0.01635644259530288
mp_norm.left_wrist.y,arms_measure_only,mp_norm,1323,0.9962349397590361,0.35118288397789,0.5171244740486145,0.5335578799247741,0.1823749959468841,0.007751161395916549
mp_norm.left_wrist.z,arms_measure_only,mp_norm,1323,0.9962349397590361,-0.5331266641616821,-0.3568125367164612,-0.15637698173522957,0.3767496824264525,0.05589963434754303
mp_norm.mouth_left.x,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.4328204900026321,0.5301393270492554,0.5633741080760953,0.13055361807346322,0.027369952307333276
